class,timestamp,Difficulty,Performance,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
0,19:03:36.261,1,1,11445.41,-17747.75,-9160.35,-11332.92,-9757.63,-15016.39,141301.31,147450.61
0,19:03:36.261,1,1,11371.56,-17740.18,-9231.25,-11369.91,-9820.8,-15054.84,141333.16,147504.59
0,19:03:36.261,1,1,11218.88,-17752.67,-9273.45,-11320.17,-9818.94,-15005.98,141312.95,147464.42
0,19:03:36.261,1,1,11194.11,-17772.54,-9231.09,-11245.39,-9751.69,-14930.63,141272.39,147387.13
0,19:03:36.261,1,1,11341.52,-17773.08,-9152.37,-11247.46,-9700.14,-14924.68,141270.7,147382.38
0,19:03:36.262,1,1,11452.83,-17753.45,-9155.48,-11321.76,-9740.98,-14995.96,141310.83,147456.16
0,19:03:36.262,1,1,11378.87,-17744.56,-9233.21,-11363.67,-9812.06,-15042.43,141341.83,147509.7
0,19:03:36.262,1,1,11226.92,-17758.91,-9285.96,-11322.88,-9822.43,-15005.93,141323.95,147472.11
0,19:03:36.262,1,1,11195.3,-17775.87,-9253.85,-11258.98,-9762.68,-14941.56,141280.13,147391.48
0,19:03:36.262,1,1,11331.91,-17773.77,-9185.7,-11266.15,-9721.38,-14947.53,141274.94,147382.8
0,19:03:36.262,1,1,11437.34,-17757.25,-9193.29,-11340.94,-9763.96,-15023.88,141317.73,147459.08
0,19:03:36.262,1,1,11358.06,-17748.8,-9275.37,-11390.25,-9839.84,-15078.44,141349.16,147513.34
0,19:03:36.262,1,1,11201.6,-17760.74,-9326.94,-11349.17,-9848.27,-15041.63,141329.2,147473.86
0,19:03:36.262,1,1,11177.57,-17779.38,-9280.35,-11269.66,-9778.96,-14965.65,141287.11,147394.69
0,19:03:36.262,1,1,11332.42,-17778.49,-9189.23,-11257.34,-9717.96,-14951.86,141282.59,147386.13
0,19:03:36.262,1,1,11444.67,-17763.04,-9184.69,-11329.63,-9754.05,-15021.13,141326.41,147463.14
0,19:03:36.262,1,1,11374.56,-17754.41,-9257.38,-11369.64,-9827.41,-15068.03,141358.5,147518.41
0,19:03:36.262,1,1,11222.39,-17763.53,-9306.93,-11326.39,-9839.62,-15029.13,141336.48,147477.5
0,19:03:36.263,1,1,11190.24,-17781.19,-9265.38,-11255.82,-9772.32,-14955.02,141293.16,147397.19
0,19:03:36.263,1,1,11334.14,-17783.58,-9185.09,-11251.58,-9712.93,-14945.76,141291.09,147390.77
0,19:03:36.263,1,1,11448.81,-17765.37,-9175.86,-11319.91,-9739.35,-15004.48,141332.09,147464.84
0,19:03:36.263,1,1,11380.1,-17755.82,-9243.47,-11366.06,-9806.98,-15043.82,141363.78,147520.13
0,19:03:36.263,1,1,11222.72,-17768.07,-9288.4,-11325.45,-9812.57,-14998.49,141345.14,147483.02
0,19:03:36.263,1,1,11191.07,-17787.36,-9244.55,-11253.14,-9743.8,-14921.58,141303.31,147404.11
0,19:03:36.263,1,1,11335.66,-17788.34,-9170.0,-11253.32,-9690.67,-14914.4,141299.08,147395.13
0,19:03:36.263,1,1,11449.01,-17771.11,-9177.74,-11332.36,-9734.23,-14993.1,141340.27,147469.45
0,19:03:36.263,1,1,11378.02,-17758.28,-9260.75,-11380.77,-9813.42,-15051.73,141369.02,147522.02
0,19:03:36.263,1,1,11227.75,-17768.52,-9310.33,-11328.76,-9819.72,-15014.31,141349.67,147484.5
0,19:03:36.263,1,1,11191.45,-17787.21,-9273.25,-11251.35,-9754.08,-14943.48,141307.23,147405.02
0,19:03:36.263,1,1,11329.56,-17788.95,-9197.43,-11247.91,-9704.64,-14941.78,141302.88,147395.52
0,19:03:36.263,1,1,11445.23,-17771.29,-9193.85,-11319.86,-9742.14,-15013.82,141343.64,147469.03
0,19:03:36.263,1,1,11376.99,-17761.86,-9270.07,-11365.91,-9814.54,-15069.01,141376.52,147525.94
0,19:03:36.264,1,1,11219.44,-17773.66,-9325.53,-11328.8,-9831.79,-15042.52,141358.86,147490.39
0,19:03:36.264,1,1,11179.98,-17790.92,-9292.22,-11260.45,-9772.88,-14975.87,141314.73,147409.06
0,19:03:36.264,1,1,11317.05,-17792.26,-9217.43,-11256.83,-9721.51,-14968.9,141309.42,147398.08
0,19:03:36.264,1,1,11436.29,-17776.88,-9213.77,-11330.81,-9761.07,-15036.22,141352.34,147473.59
0,19:03:36.264,1,1,11372.3,-17765.88,-9283.53,-11379.14,-9834.05,-15080.36,141384.14,147529.69
0,19:03:36.264,1,1,11211.77,-17778.4,-9327.65,-11338.57,-9840.13,-15036.53,141367.78,147495.78
0,19:03:36.264,1,1,11159.73,-17796.84,-9283.17,-11264.09,-9773.28,-14957.61,141324.17,147414.95
0,19:03:36.264,1,1,11298.99,-17797.35,-9196.8,-11249.61,-9715.99,-14940.49,141316.94,147401.72
0,19:03:36.264,1,1,11425.97,-17780.07,-9185.34,-11318.23,-9747.57,-15002.49,141357.33,147474.64
0,19:03:36.264,1,1,11373.75,-17770.22,-9246.78,-11361.64,-9812.3,-15042.12,141391.0,147532.97
0,19:03:36.264,1,1,11222.56,-17781.06,-9283.93,-11321.02,-9819.5,-14997.15,141374.11,147498.73
0,19:03:36.264,1,1,11186.11,-17797.55,-9236.61,-11243.87,-9751.44,-14913.13,141329.53,147416.7
