timestamp,Difficulty,Performance,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
19:04:56.152,1,1,12947.69,-18476.73,-10507.82,-10617.46,-12108.45,-14403.62,168251.36,160578.23
19:04:56.152,1,1,12894.81,-18460.21,-10586.68,-10688.29,-12184.76,-14458.78,168293.16,160651.84
19:04:56.153,1,1,12760.7,-18465.02,-10627.49,-10678.72,-12200.65,-14408.54,168287.91,160638.0
19:04:56.153,1,1,12725.34,-18477.98,-10577.16,-10600.9,-12133.53,-14326.44,168247.75,160563.69
19:04:56.153,1,1,12847.04,-18477.76,-10508.72,-10563.48,-12080.02,-14337.3,168237.89,160544.89
19:04:56.153,1,1,12954.83,-18458.47,-10523.13,-10622.11,-12119.09,-14430.35,168279.42,160619.25
19:04:56.153,1,1,12902.86,-18439.54,-10600.14,-10689.97,-12191.11,-14478.81,168318.95,160691.02
19:04:56.154,1,1,12771.16,-18442.18,-10635.05,-10674.83,-12200.74,-14420.0,168312.14,160675.98
19:04:56.154,1,1,12721.25,-18456.19,-10594.48,-10611.4,-12143.23,-14343.72,168272.91,160602.47
19:04:56.154,1,1,12819.8,-18456.75,-10529.68,-10588.96,-12089.63,-14352.75,168262.97,160583.06
19:04:56.154,1,1,12928.87,-18436.43,-10527.98,-10639.54,-12110.0,-14425.39,168303.13,160655.64
19:04:56.155,1,1,12881.8,-18420.43,-10591.87,-10702.69,-12177.14,-14462.72,168346.14,160730.7
19:04:56.155,1,1,12741.52,-18423.74,-10627.09,-10694.13,-12188.34,-14404.49,168340.09,160716.56
19:04:56.155,1,1,12704.69,-18438.49,-10572.42,-10618.06,-12118.22,-14311.46,168301.83,160643.64
19:04:56.155,1,1,12824.92,-18436.63,-10491.26,-10577.38,-12056.49,-14310.41,168289.31,160621.23
19:04:56.156,1,1,12933.48,-18415.96,-10490.03,-10624.07,-12086.71,-14393.41,168328.88,160692.86
19:04:56.156,1,1,12880.88,-18400.22,-10566.18,-10691.78,-12168.18,-14448.32,168372.09,160767.84
19:04:56.156,1,1,12745.14,-18401.5,-10606.3,-10679.17,-12187.76,-14397.79,168363.97,160751.59
19:04:56.156,1,1,12699.05,-18412.88,-10564.75,-10607.15,-12127.18,-14320.11,168321.53,160674.48
19:04:56.156,1,1,12812.8,-18411.42,-10492.27,-10571.1,-12070.1,-14326.06,168308.42,160651.02
19:04:56.156,1,1,12928.83,-18392.47,-10496.13,-10625.37,-12107.11,-14415.62,168348.78,160722.92
19:04:56.156,1,1,12883.39,-18377.89,-10569.71,-10694.95,-12185.08,-14467.03,168392.63,160798.52
19:04:56.157,1,1,12748.85,-18381.56,-10607.44,-10679.24,-12198.71,-14413.79,168386.81,160784.42
19:04:56.157,1,1,12706.63,-18396.74,-10561.56,-10604.36,-12134.85,-14333.48,168347.92,160710.52
19:04:56.157,1,1,12814.9,-18395.37,-10499.87,-10578.05,-12088.31,-14350.42,168333.7,160685.36
19:04:56.157,1,1,12923.42,-18375.82,-10506.79,-10633.33,-12121.22,-14437.19,168372.09,160754.98
19:04:56.157,1,1,12877.42,-18360.55,-10578.01,-10697.7,-12192.16,-14483.13,168414.75,160829.2
19:04:56.157,1,1,12741.32,-18363.66,-10621.17,-10689.14,-12208.43,-14430.33,168407.98,160814.3
19:04:56.157,1,1,12697.96,-18378.63,-10581.16,-10618.29,-12147.61,-14348.86,168368.05,160739.08
19:04:56.157,1,1,12814.59,-18380.04,-10507.6,-10582.72,-12089.54,-14348.28,168355.75,160715.16
19:04:56.158,1,1,12916.6,-18360.73,-10516.63,-10644.93,-12124.12,-14436.66,168393.52,160783.58
19:04:56.158,1,1,12865.78,-18341.33,-10586.66,-10714.44,-12193.7,-14479.33,168431.7,160853.09
19:04:56.158,1,1,12728.87,-18344.5,-10624.66,-10702.46,-12205.86,-14420.96,168425.0,160837.97
19:04:56.158,1,1,12686.31,-18358.96,-10576.38,-10629.1,-12139.81,-14331.42,168384.27,160761.47
19:04:56.158,1,1,12805.07,-18360.46,-10496.36,-10589.52,-12077.9,-14327.29,168371.53,160736.73
19:04:56.158,1,1,12922.28,-18342.09,-10495.13,-10634.49,-12104.43,-14411.47,168410.11,160805.66
19:04:56.158,1,1,12879.88,-18325.39,-10563.9,-10697.81,-12177.03,-14460.24,168450.97,160877.97
19:04:56.158,1,1,12746.66,-18327.07,-10602.77,-10686.01,-12197.17,-14408.05,168443.02,160861.88
19:04:56.158,1,1,12700.01,-18341.44,-10558.38,-10613.32,-12137.62,-14330.17,168402.16,160785.28
19:04:56.159,1,1,12809.99,-18342.15,-10483.66,-10573.96,-12078.79,-14334.75,168387.98,160758.92
19:04:56.159,1,1,12918.82,-18322.28,-10483.06,-10623.36,-12107.36,-14419.65,168424.61,160825.78
19:04:56.159,1,1,12875.03,-18303.73,-10554.76,-10692.81,-12184.54,-14473.67,168464.06,160896.75
19:04:56.159,1,1,12740.92,-18307.58,-10596.22,-10686.66,-12203.02,-14427.92,168459.02,160883.94
19:04:56.159,1,1,12696.73,-18324.05,-10551.23,-10610.13,-12143.7,-14344.03,168420.7,160810.2
19:04:56.160,1,1,12810.68,-18324.94,-10476.31,-10572.2,-12085.32,-14343.47,168406.47,160783.72
19:04:56.160,1,1,12927.94,-18304.09,-10477.02,-10625.5,-12110.93,-14427.09,168442.31,160849.98
19:04:56.160,1,1,12890.7,-18285.16,-10544.26,-10688.29,-12179.35,-14472.91,168482.38,160922.0
19:04:56.160,1,1,12753.73,-18290.48,-10587.4,-10681.0,-12201.57,-14426.84,168479.69,160911.86
19:04:56.160,1,1,12700.91,-18303.35,-10548.66,-10613.79,-12145.87,-14348.61,168438.27,160835.33
19:04:56.161,1,1,12807.3,-18306.86,-10481.96,-10584.44,-12090.71,-14352.48,168426.94,160811.91
19:04:56.161,1,1,12913.83,-18287.48,-10496.49,-10652.1,-12125.73,-14446.4,168464.59,160879.98
19:04:56.161,1,1,12871.05,-18268.82,-10571.35,-10720.21,-12199.96,-14493.94,168505.66,160953.5
19:04:56.161,1,1,12737.01,-18268.79,-10612.36,-10709.99,-12214.22,-14437.26,168499.11,160940.44
19:04:56.161,1,1,12690.22,-18280.8,-10566.56,-10637.49,-12148.26,-14347.12,168458.23,160865.08
19:04:56.161,1,1,12799.01,-18282.92,-10489.49,-10596.56,-12089.28,-14340.81,168446.41,160841.34
19:04:56.161,1,1,12914.37,-18262.56,-10490.43,-10648.33,-12119.81,-14424.54,168483.98,160909.67
19:04:56.162,1,1,12876.37,-18242.87,-10557.56,-10714.06,-12192.79,-14474.21,168525.39,160984.17
19:04:56.162,1,1,12746.64,-18244.7,-10594.44,-10700.7,-12205.26,-14420.5,168522.0,160974.94
19:04:56.162,1,1,12695.14,-18260.57,-10553.31,-10629.24,-12149.31,-14341.42,168485.52,160904.3
19:04:56.162,1,1,12805.94,-18261.42,-10476.89,-10586.25,-12089.75,-14341.66,168472.58,160879.73
19:04:56.162,1,1,12922.17,-18241.97,-10476.08,-10633.37,-12117.77,-14429.77,168511.36,160949.61
19:04:56.162,1,1,12884.37,-18222.97,-10547.7,-10700.07,-12193.68,-14483.35,168554.05,161026.08
19:04:56.162,1,1,12753.17,-18225.59,-10589.16,-10688.42,-12214.92,-14437.01,168552.06,161018.86
19:04:56.162,1,1,12710.56,-18239.38,-10544.46,-10611.47,-12154.27,-14356.77,168513.89,160947.0
19:04:56.162,1,1,12823.06,-18240.7,-10468.39,-10570.99,-12091.24,-14355.54,168501.55,160923.02
19:04:56.162,1,1,12939.0,-18219.8,-10468.82,-10624.19,-12118.71,-14446.4,168538.88,160991.39
19:04:56.163,1,1,12896.75,-18200.96,-10545.91,-10696.32,-12200.61,-14504.94,168581.95,161068.41
19:04:56.163,1,1,12758.93,-18204.2,-10595.55,-10692.05,-12225.64,-14461.49,168581.02,161062.5
19:04:56.163,1,1,12705.47,-18219.22,-10560.13,-10626.26,-12168.6,-14381.96,168544.0,160991.73
19:04:56.163,1,1,12813.9,-18218.86,-10491.08,-10589.45,-12111.56,-14381.54,168529.33,160965.09
19:04:56.163,1,1,12926.8,-18198.97,-10498.3,-10646.09,-12141.94,-14468.64,168567.42,161034.2
19:04:56.163,1,1,12881.62,-18181.78,-10580.8,-10723.96,-12222.29,-14529.06,168612.09,161113.09
19:04:56.163,1,1,12744.2,-18181.49,-10627.0,-10716.7,-12238.74,-14479.82,168607.94,161104.03
19:04:56.164,1,1,12688.03,-18196.31,-10584.18,-10645.38,-12174.46,-14391.59,168570.56,161032.84
19:04:56.164,1,1,12788.77,-18199.28,-10516.12,-10611.0,-12113.88,-14391.86,168558.36,161008.19
19:04:56.164,1,1,12904.44,-18180.66,-10520.7,-10664.98,-12134.02,-14474.27,168597.28,161077.7
19:04:56.164,1,1,12864.64,-18160.7,-10592.25,-10734.09,-12200.5,-14518.8,168639.25,161153.7
19:04:56.164,1,1,12723.31,-18161.39,-10635.05,-10727.65,-12218.29,-14467.75,168636.17,161145.92
19:04:56.164,1,1,12663.18,-18175.52,-10597.41,-10659.35,-12161.38,-14387.12,168597.89,161073.86
19:04:56.164,1,1,12768.79,-18178.94,-10522.89,-10617.68,-12101.28,-14383.03,168585.66,161048.84
19:04:56.164,1,1,12893.0,-18159.76,-10516.81,-10660.46,-12120.25,-14458.92,168623.36,161116.83
19:04:56.165,1,1,12864.21,-18141.99,-10583.86,-10722.56,-12186.93,-14506.1,168667.63,161194.92
19:04:56.165,1,1,12736.22,-18141.5,-10626.04,-10709.7,-12205.1,-14460.62,168663.11,161185.67
19:04:56.165,1,1,12679.54,-18154.62,-10592.96,-10641.04,-12158.37,-14390.63,168622.77,161110.78
19:04:56.165,1,1,12782.9,-18155.4,-10518.89,-10599.46,-12104.86,-14397.56,168606.11,161080.55
19:04:56.165,1,1,12902.72,-18138.42,-10514.26,-10645.44,-12133.35,-14489.5,168644.55,161148.55
19:04:56.165,1,1,12874.43,-18120.25,-10577.25,-10707.63,-12207.65,-14543.99,168687.67,161225.14
19:04:56.165,1,1,12746.73,-18121.74,-10614.75,-10699.49,-12223.27,-14492.78,168685.09,161217.27
19:04:56.165,1,1,12691.39,-18136.43,-10573.11,-10630.91,-12163.48,-14407.55,168646.05,161143.42
19:04:56.165,1,1,12797.71,-18138.04,-10495.75,-10590.35,-12103.33,-14399.26,168629.73,161112.91
19:04:56.166,1,1,12921.01,-18120.74,-10490.08,-10638.87,-12126.89,-14478.88,168667.58,161179.67
19:04:56.166,1,1,12890.03,-18101.98,-10557.53,-10707.76,-12196.77,-14527.14,168709.94,161255.14
19:04:56.166,1,1,12761.59,-18102.9,-10593.54,-10696.78,-12209.44,-14469.22,168706.67,161246.69
19:04:56.166,1,1,12701.04,-18117.96,-10565.89,-10638.87,-12160.11,-14393.5,168667.39,161172.23
19:04:56.166,1,1,12808.51,-18120.58,-10496.56,-10600.11,-12103.33,-14386.79,168651.17,161141.55
19:04:56.166,1,1,12929.52,-18098.97,-10499.11,-10651.88,-12132.01,-14471.06,168683.89,161202.98
19:04:56.166,1,1,12891.88,-18080.55,-10573.76,-10728.41,-12205.33,-14525.66,168726.55,161279.08
19:04:56.166,1,1,12754.15,-18083.46,-10622.64,-10729.08,-12225.22,-14478.95,168725.63,161273.44
19:04:56.166,1,1,12697.09,-18097.92,-10583.3,-10657.11,-12166.5,-14392.53,168686.44,161199.5
19:04:56.166,1,1,12800.98,-18100.06,-10510.46,-10615.76,-12105.28,-14385.25,168669.67,161168.14
19:04:56.167,1,1,12917.01,-18080.93,-10508.58,-10666.95,-12127.9,-14466.29,168704.95,161232.36
19:04:56.167,1,1,12883.72,-18063.14,-10573.34,-10735.12,-12195.36,-14514.78,168749.16,161310.7
19:04:56.167,1,1,12749.23,-18068.05,-10622.02,-10730.65,-12220.03,-14472.15,168751.27,161308.56
19:04:56.167,1,1,12687.27,-18082.38,-10592.85,-10663.37,-12173.45,-14399.8,168712.13,161235.16
19:04:56.624,1,1,12791.41,-18083.61,-10519.13,-10619.22,-12116.41,-14397.07,168694.8,161203.41
